label,sec,mp,emp_k,emp_cagr,emp_p95,worst_year_emp,rob_k0,rob_cagr0,family,fast,slow,adx_th,n_ovl,rob_k1,rob_cagr1,rob_k2,rob_cagr2,rob_k3,rob_cagr3,rob_k4,rob_cagr4,rob_mean5,k_is_rob,oos_cagr,oos_dd,n_pool,gate
champ mp11,ref,11.0,11.50904070854187,0.23825236971358343,-0.2958302109769504,0.06248777107907344,7.567926330566406,0.15214395101724398,,,,,,,,,,,,,,,,,,,
champ mp15,ref,15.0,15.694145030975346,0.23855019290874568,-0.2948687316376055,0.0713249880454141,10.357160034179689,0.15291138447052277,,,,,,,,,,,,,,,,,,,
"cushion adx(20/50,th15)",legs,,10.279745998382566,0.17403202793073147,-0.21263116896495945,-0.030864962703541998,7.393827819824217,0.11021213034841026,adx,20.0,50.0,15.0,3089.0,,,,,,,,,,,,,,
"cushion adx(20/50,th20)",legs,,10.738620409965517,0.16657857702173295,-0.2647260762144655,0.019047388907170282,9.561281127929686,0.14531886694256757,adx,20.0,50.0,20.0,2461.0,,,,,,,,,,,,,,
"cushion adx(20/50,th25)",legs,,11.220466842651367,0.17622273980532022,-0.24602467648739526,-0.0012318180842070259,9.658571472167967,0.15207587530652167,adx,20.0,50.0,25.0,1789.0,,,,,,,,,,,,,,
"cushion adx(30/100,th15)",legs,,10.814620180130008,0.18901955082510158,-0.21145873612160468,0.06463616162921859,10.268891601562501,0.1684558790480355,adx,30.0,100.0,15.0,1753.0,,,,,,,,,,,,,,
"cushion adx(30/100,th20)",legs,,11.619149756431582,0.20343130834620315,-0.23903272689856192,0.043427829991641964,10.015302734375,0.1713621760829045,adx,30.0,100.0,20.0,1557.0,,,,,,,,,,,,,,
"cushion adx(30/100,th25)",legs,,10.454769015312198,0.17523102407450586,-0.21346764450704864,0.0484151355248601,10.060656127929686,0.16311331579083022,adx,30.0,100.0,25.0,1283.0,,,,,,,,,,,,,,
"cushion adx(40/150,th15)",legs,,11.653539180755615,0.17666627764521992,-0.3164143212258997,0.03961605820929193,8.989486999511719,0.1418987151088993,adx,40.0,150.0,15.0,1258.0,,,,,,,,,,,,,,
"cushion adx(40/150,th20)",legs,,11.075991239547728,0.17495741373315976,-0.266267755027364,0.03797342218667188,9.342316894531251,0.1427575455927994,adx,40.0,150.0,20.0,1177.0,,,,,,,,,,,,,,
"cushion adx(40/150,th25)",legs,,10.198629264831542,0.15303349924150433,-0.24191325679730163,0.039362900220575314,9.811456298828125,0.1529186339757358,adx,40.0,150.0,25.0,1039.0,,,,,,,,,,,,,,
cushion ma_cross(30/100),legs,,10.381925182342528,0.16329882244625304,-0.2422790493840195,-0.010924922391170488,10.268891601562501,0.16686758036260674,ma,30.0,100.0,,1849.0,,,,,,,,,,,,,,
cushion donchian(20/10),legs,,8.404073042869568,0.1314227477793155,-0.20166424712246184,0.03267639738992756,7.690575561523437,0.11030323440681444,don,20.0,10.0,,6000.0,,,,,,,,,,,,,,
cushion mp15 g0.05 w1.0 (canonical),canonical,,11.619149756431582,0.20343130834620315,-0.23903272689856192,0.043427829991641964,10.015302734375,0.1713621760829045,,,,,,9.857785034179688,0.1685272510311966,10.268891601562501,0.1812036260129677,9.942395935058595,0.17004946417499722,9.811700134277345,0.16496034152137828,0.17122057176468886,10.317171020507814,0.2177521423226645,-0.10706527358347095,,
champ mp11 (paired oos),canonical,,,,,,,,,,,,,,,,,,,,,,7.9514794921875,0.19482001234530166,-0.11107754755671417,,
champ mp11 [no22],no22,11.0,12.673026957511901,0.2248539103807996,-0.30207661706690586,0.06827896453739091,8.103632812499999,0.14001078707424996,,,,,1410.0,,,,,,,,,,,,,1073.0,
champ mp15 [no22],no22,15.0,17.281404204368595,0.2259726559842581,-0.3018086050715829,0.07807201763213034,11.053554077148437,0.14071150082050132,,,,,1410.0,,,,,,,,,,,,,1073.0,
cushion mp15 g0.05 w1.0 [no22],no22,15.0,11.644042782783508,0.1553951147143473,-0.21149974875784502,0.04340631266353179,10.381543579101564,0.13332630378573418,,,,,1410.0,,,,,,,,,,,,,1073.0,
champ mp11 [no22strict],no22strict,11.0,12.673026957511901,0.2248539103807996,-0.30207661706690586,0.06827896453739091,8.103632812499999,0.14001078707424996,,,,,1406.0,,,,,,,,,,,,,1073.0,
champ mp15 [no22strict],no22strict,15.0,17.281404204368595,0.2259726559842581,-0.3018086050715829,0.07807201763213034,11.053554077148437,0.14071150082050132,,,,,1406.0,,,,,,,,,,,,,1073.0,
cushion mp15 g0.05 w1.0 [no22strict],no22strict,15.0,11.644042782783508,0.15522561213800956,-0.21149974875784291,0.031478813579264964,10.381543579101564,0.13317790502769977,,,,,1406.0,,,,,,,,,,,,,1073.0,
cushion mp15 g0.045 w1.0,gate,,10.4478511095047,0.17988604579640977,-0.23961630462868444,0.03925409617580522,9.752448120117187,0.17155213502817457,,,,,,,,,,,,,,,,,,,0.045
cushion mp15 g0.05 w1.0,gate,,11.619149756431582,0.20343130834620315,-0.23903272689856192,0.043427829991641964,10.015302734375,0.1713621760829045,,,,,,,,,,,,,,,,,,,0.05
cushion mp15 g0.055 w1.0,gate,,12.79256951332092,0.22537975612452055,-0.26063117102885647,0.04755955104752374,10.087234191894531,0.1685147254731918,,,,,,,,,,,,,,,,,,,0.055
cushion mp15 g0.06 w1.0,gate,,15.390357489585877,0.27740370938850223,-0.29561739883836996,0.04160817681610962,10.020179443359375,0.16437919439984294,,,,,,,,,,,,,,,,,,,0.06
cushion mp15 g0.065 w1.0,gate,,13.411207528114318,0.23407247609775172,-0.266506035726623,0.05080890426894413,10.02456848144531,0.1619554105078571,,,,,,,,,,,,,,,,,,,0.065
cushion mp17 g0.05 w1.0,mp_ext,17.0,12.515750370025636,0.1887649544025798,-0.23286342311206815,0.06510230592227328,11.350789489746091,0.171575220985269,,,,,,,,,,,,,,,,,,,
cushion mp19 g0.05 w1.0,mp_ext,19.0,13.988195176124572,0.1887650055557224,-0.23286347695578566,0.0651023225896592,12.68603240966797,0.16464970606115248,,,,,,,,,,,,,,,,,,,
